MODEL,IOU,Dice,PA,VAL_LOSS,TIME
Base Model,0.732951241603174,0.8069792057797048,0.8061648489829591,0.3413271901745957,22
ResNet50,0.7061114525216043,0.7800553502937686,0.7651957338301563,0.365454615272106,17
ResNet34,0.6882878215256947,0.7565243793849615,0.737459728340167,0.5088808351321846,13
ResNet18,0.771835961914126,0.8315577977039712,0.8776871821746949,0.2551428988585843,9
Optuna 1,0.6625250253078698,0.7460573711629275,0.8924950732498288,0.31038598202064005,16
Optuna 2,0.626868460091277,0.7411158444281195,0.7636059207349131,0.3102442918633911,36
Bagging,0.7075191766588375,0.755911247570279,0.9214865441769476,0.0,81
Stacking, 0.0, 0.0, 0.0, 0.0, 0.0
